time_period,location,rainfall,mean_temperature,population,spray_coverage,disease_cases
2021-10,Vientiane,31.2,23.15,990708,0.0,1424
2021-11,Vientiane,11.4,23.84,992690,0.0,1568
2021-12,Vientiane,1.5,22.42,994675,0.0,1246
2022-01,Vientiane,5.2,24.71,996664,0.0,1963
2022-02,Vientiane,3.1,26.2,998658,0.0,1418
2022-03,Vientiane,13.0,27.73,1000655,0.0,1653
2022-04,Vientiane,40.9,29.35,1002656,0.0,1567
2022-05,Vientiane,116.8,29.48,1004662,0.0,2038
2022-06,Vientiane,123.1,27.85,1006671,0.0,1572
2022-07,Vientiane,77.3,27.48,1008684,0.0,2820
2022-08,Vientiane,99.2,24.41,1010702,0.0,2444
2022-09,Vientiane,41.4,22.38,1012723,0.0,1401
2022-10,Vientiane,19.2,23.75,1014748,0.0,1874
2022-11,Vientiane,13.5,23.71,1016778,0.0,1667
2022-12,Vientiane,2.5,23.4,1018812,0.0,1091
2023-01,Vientiane,1.8,24.47,1020849,0.0,1733
2023-02,Vientiane,2.6,26.19,1022891,0.0,1371
2023-03,Vientiane,4.0,28.83,1024937,0.0,1955
2023-04,Vientiane,3.8,30.37,1026987,0.0,2083
2023-05,Vientiane,85.3,29.62,1029040,0.0,2296
2023-06,Vientiane,47.5,28.32,1031099,0.0,1701
2023-07,Vientiane,56.2,26.92,1033161,0.0,2770
2023-08,Vientiane,50.2,25.93,1035227,0.0,1965
2023-09,Vientiane,32.2,24.11,1037298,0.0,1553
2023-10,Vientiane,22.3,22.53,1039372,0.0,817
2023-11,Vientiane,4.9,23.33,1041451,0.0,983
2023-12,Vientiane,4.3,23.07,1043534,0.0,1680
2020-01,Savannakhet,8.2,25.54,1000000,0.0,2583
2020-02,Savannakhet,6.3,27.67,1002000,0.0,2570
2020-03,Savannakhet,8.1,28.78,1004004,0.0,2787
2020-04,Savannakhet,42.2,29.01,1006012,0.0,2281
2020-05,Savannakhet,61.3,29.81,1008024,0.0,2854
2020-06,Savannakhet,63.1,29.08,1010040,0.0,3059
2020-07,Savannakhet,49.8,26.9,1012060,0.0,2734
2020-08,Savannakhet,46.3,25.77,1014084,0.0,1778
2020-09,Savannakhet,61.8,24.59,1016112,0.0,3730
2020-10,Savannakhet,48.3,24.57,1018145,0.0,2108
2020-11,Savannakhet,5.8,24.05,1020181,0.0,2956
2020-12,Savannakhet,6.1,25.13,1022221,0.0,3080
2021-01,Savannakhet,3.1,25.88,1024266,0.0,2304
2021-02,Savannakhet,3.2,27.65,1026314,0.0,1948
2021-03,Savannakhet,8.2,29.85,1028367,0.0,3992
2021-04,Savannakhet,41.5,29.87,1030424,0.0,3598
2021-05,Savannakhet,30.0,29.55,1032485,0.0,3536
2021-06,Savannakhet,68.2,28.11,1034549,0.0,2874
2021-07,Savannakhet,70.1,27.69,1036619,0.0,2650
2021-08,Savannakhet,115.6,26.58,1038692,0.0,3106
2021-09,Savannakhet,30.7,23.85,1040769,0.0,2536
2021-10,Savannakhet,72.1,23.43,1042851,0.0,3741
2021-11,Savannakhet,17.0,23.34,1044936,0.0,3246
2021-12,Savannakhet,8.9,23.59,1047026,0.0,1838
2022-01,Savannakhet,3.6,25.43,1049120,0.0,2985
2022-02,Savannakhet,4.9,28.3,1051219,0.0,3434
2022-03,Savannakhet,14.9,29.11,1053321,0.0,2996
2022-04,Savannakhet,39.6,30.1,1055428,0.0,2066
2022-05,Savannakhet,60.9,30.08,1057539,0.0,3511
2022-06,Savannakhet,117.0,27.95,1059654,0.0,2965
2022-07,Savannakhet,64.3,27.89,1061773,0.45,2813
2022-08,Savannakhet,40.1,26.23,1063896,0.9,3509
2022-09,Savannakhet,51.8,23.51,1066024,0.9,849
2022-10,Savannakhet,15.5,22.67,1068156,0.9,1091
2022-11,Savannakhet,25.4,23.56,1070293,0.9,1051
2022-12,Savannakhet,6.1,25.26,1072433,0.9,1448
2023-01,Savannakhet,4.7,26.32,1074578,0.0,1530
2023-02,Savannakhet,4.3,27.2,1076727,0.0,1173
2023-03,Savannakhet,8.9,28.73,1078881,0.0,2206
2023-04,Savannakhet,13.0,29.13,1081038,0.0,1684
2023-05,Savannakhet,82.0,29.35,1083201,0.0,1490
2023-06,Savannakhet,109.1,29.44,1085367,0.0,2373
2023-07,Savannakhet,63.3,26.63,1087538,0.0,2991
2023-08,Savannakhet,96.2,25.44,1089713,0.0,3163
2023-09,Savannakhet,21.9,23.59,1091892,0.0,2717
2023-10,Savannakhet,38.5,23.47,1094076,0.0,3617
2023-11,Savannakhet,11.3,22.76,1096264,0.0,2345
2023-12,Savannakhet,15.1,24.45,1098457,0.0,1880
2020-01,Champasack,2.3,25.22,700000,0.0,1021
2020-02,Champasack,3.4,25.84,701400,0.0,1303
2020-03,Champasack,5.0,29.26,702803,0.0,2056
2020-04,Champasack,52.1,30.11,704208,0.0,1585
2020-05,Champasack,41.9,29.59,705617,0.0,1402
2020-06,Champasack,105.4,28.79,707028,0.0,2032
2020-07,Champasack,118.7,26.99,708442,0.0,2112
2020-08,Champasack,61.9,25.05,709859,0.0,2026
2020-09,Champasack,61.1,24.27,711279,0.0,1788
2020-10,Champasack,53.2,24.51,712701,0.0,1944
2020-11,Champasack,21.2,22.69,714127,0.0,1363
2020-12,Champasack,8.7,25.15,715555,0.0,1591
2021-01,Champasack,4.3,24.86,716986,0.0,1766
2021-02,Champasack,2.7,25.92,718420,0.0,1532
2021-03,Champasack,5.8,28.34,719857,0.0,1394
2021-04,Champasack,48.6,29.45,721297,0.0,1678
2021-05,Champasack,150.1,29.77,722739,0.0,2009
2021-06,Champasack,72.7,29.09,724185,0.0,1838
2021-07,Champasack,71.3,26.03,725633,0.0,3421
2021-08,Champasack,189.3,26.48,727084,0.0,2386
2021-09,Champasack,49.8,23.88,728538,0.0,1871
2021-10,Champasack,34.1,22.38,729996,0.0,3079
2021-11,Champasack,9.2,22.51,731456,0.325,1815
2021-12,Champasack,7.5,23.89,732918,0.65,1296
2022-01,Champasack,2.4,26.43,734384,0.65,983
2022-02,Champasack,2.3,27.5,735853,0.65,806
2022-03,Champasack,8.9,29.12,737325,0.65,1113
2022-04,Champasack,22.3,29.75,738799,0.65,1358
2022-05,Champasack,61.8,29.0,740277,0.0,1589
2022-06,Champasack,95.2,28.98,741758,0.0,995
2022-07,Champasack,90.9,27.72,743241,0.0,1573
2022-08,Champasack,55.0,25.61,744728,0.0,2377
2022-09,Champasack,12.8,23.43,746217,0.0,1166
2022-10,Champasack,36.3,24.24,747709,0.0,1557
2022-11,Champasack,5.7,23.89,749205,0.0,1340
2022-12,Champasack,4.0,24.38,750703,0.0,1568
2023-01,Champasack,9.7,27.18,752205,0.0,1401
2023-02,Champasack,1.4,27.72,753709,0.0,1306
2023-03,Champasack,11.6,27.67,755216,0.0,1770
2023-04,Champasack,22.5,30.1,756727,0.0,1716
2023-05,Champasack,52.0,29.23,758240,0.0,1987
2023-06,Champasack,110.4,28.38,759757,0.0,1786
2023-07,Champasack,80.0,27.78,761276,0.0,2503
2023-08,Champasack,31.1,25.79,762799,0.0,2157
2023-09,Champasack,28.8,23.44,764325,0.0,1432
2023-10,Champasack,67.8,22.61,765853,0.0,1126
2023-11,Champasack,15.4,22.99,767385,0.0,1322
2023-12,Champasack,3.8,23.76,768920,0.0,1622
2020-01,Oudomxay,2.3,22.97,310000,0.0,451
2020-02,Oudomxay,0.7,24.77,310620,0.0,622
2020-03,Oudomxay,11.4,25.84,311241,0.0,483
2020-04,Oudomxay,10.8,27.5,311864,0.0,556
2020-05,Oudomxay,75.3,27.08,312487,0.0,640
2020-06,Oudomxay,40.1,26.25,313112,0.0,676
2020-07,Oudomxay,51.6,25.02,313739,0.0,813
2020-08,Oudomxay,28.9,23.54,314366,0.0,542
2020-09,Oudomxay,19.4,21.48,314995,0.0,550
2020-10,Oudomxay,40.7,21.06,315625,0.0,387
2020-11,Oudomxay,6.5,20.33,316256,0.0,499
2020-12,Oudomxay,3.7,21.45,316889,0.0,463
2021-01,Oudomxay,1.7,23.14,317522,0.0,376
2021-02,Oudomxay,2.3,25.18,318157,0.0,511
2021-03,Oudomxay,2.6,25.55,318794,0.0,450
2021-04,Oudomxay,16.1,26.64,319431,0.0,594
2021-05,Oudomxay,61.7,26.74,320070,0.0,699
2021-06,Oudomxay,42.5,26.94,320710,0.0,680
2021-07,Oudomxay,32.1,25.14,321352,0.0,855
2021-08,Oudomxay,15.2,23.13,321994,0.0,482
2021-09,Oudomxay,67.8,21.27,322638,0.0,489
2021-10,Oudomxay,22.9,20.63,323284,0.0,606
2021-11,Oudomxay,8.2,20.56,323930,0.0,453
2021-12,Oudomxay,2.2,22.06,324578,0.0,355
2022-01,Oudomxay,1.7,23.65,325227,0.0,667
2022-02,Oudomxay,2.0,24.22,325878,0.0,491
2022-03,Oudomxay,11.7,26.43,326530,0.0,553
2022-04,Oudomxay,14.9,26.34,327183,0.0,537
2022-05,Oudomxay,9.0,26.51,327837,0.0,514
2022-06,Oudomxay,9.8,25.64,328493,0.0,615
2022-07,Oudomxay,16.8,25.02,329150,0.0,525
2022-08,Oudomxay,20.7,23.24,329808,0.0,563
2022-09,Oudomxay,21.2,21.74,330468,0.0,532
2022-10,Oudomxay,28.2,20.5,331128,0.0,632
2022-11,Oudomxay,14.7,20.29,331791,0.0,470
2022-12,Oudomxay,4.4,20.9,332454,0.0,461
2023-01,Oudomxay,1.5,23.93,333119,0.35,514
2023-02,Oudomxay,2.9,24.58,333785,0.7,592
2023-03,Oudomxay,8.3,27.0,334453,0.7,661
2023-04,Oudomxay,33.1,26.7,335122,0.7,369
2023-05,Oudomxay,29.5,27.14,335792,0.7,373
2023-06,Oudomxay,71.1,27.73,336464,0.7,514
2023-07,Oudomxay,36.5,24.32,337137,0.0,395
2023-08,Oudomxay,72.0,23.72,337811,0.0,453
2023-09,Oudomxay,64.1,21.56,338487,0.0,352
2023-10,Oudomxay,10.0,20.76,339164,0.0,553
2023-11,Oudomxay,9.5,21.48,339842,0.0,521
2023-12,Oudomxay,4.6,20.65,340522,0.0,388
